location,bedrooms,title,price,image,link
Dubai,2,Springs 14 | 2 Bed | Type 4M | Internal View,"1,490,000 AED",https://www.propertyfinder.ae/property/dac2c9a2e2715558d114cc0f66b2a5a7/668/452/MODE/2659c4/6130528-193c1o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-the-springs-springs-14-6130528.html
Dubai,2,2 Bedroom Villa with Generous Plot – VOT,"1,665,000 AED",https://www.propertyfinder.ae/property/f2fc8bb5c6b674deceaca40300c8b917/668/452/MODE/ca767a/6139401-81450o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-the-springs-springs-14-6139401.html
Dubai,2,New | Large Plot | V.O.T. |Best District,"2,500,000 AED",https://www.propertyfinder.ae/property/2d5a219cde3b9805578e1892158239c6/668/452/MODE/cf1a6d/6179483-570e9o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-jumeirah-village-triangle-mediterranean-villas-6179483.html
Dubai,3,3 Bedroom Villa Golf view in Dubai South,"2,300,000 AED",https://www.propertyfinder.ae/property/97954fcff290f674c3673706d10b8a65/668/452/MODE/55cce2/5969767-edef2o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-dubai-south-dubai-world-central-emaar-south-golf-links-5969767.html
Dubai,3,3 BED VILLA l CORNER UNIT l PARK FACING!,"3,400,000 AED",https://www.propertyfinder.ae/property/bd2225b0a7f1de6fa71ff4fd9849f932/668/452/MODE/2a5c4f/5531697-9862ao.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-dubai-hills-estate-sidra-villas-sidra-villas-iii-5531697.html
Dubai,3,Springs 2 Type 3E | Backing Pool and Park,"2,500,000 AED",https://www.propertyfinder.ae/property/a211366b8fa1fbc69d17f173f1c7afc4/668/452/MODE/c9a301/6180156-a5c31o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-the-springs-springs-2-6180156.html
Dubai,4,Grand Foyer 4 Bedrooms Villa for sale in Palm Jumeirah,"15,000,000 AED",https://www.propertyfinder.ae/property/3e995c6e3324ceed7a98b67a149f215f/668/452/MODE/740ddd/6090433-3f57eo.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-palm-jumeirah-garden-homes-garden-homes-frond-l-6090433.html
Dubai,4,Independent 4BR Villa|Nakheel Villas|JVC,"3,200,000 AED",https://www.propertyfinder.ae/property/071db06377b26a5da6bce0e195398f3e/668/452/MODE/c0e928/5767816-1ec95o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-jumeirah-village-circle-nakheel-villas-5767816.html
Dubai,4,Atrium Entry Garden Home 4Br Villa Sale,"9,500,000 AED",https://www.propertyfinder.ae/property/1516778538/668/452/MODE/3ca4af/5929049-ab78do.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-palm-jumeirah-garden-homes-garden-homes-frond-d-5929049.html
Dubai,5,5 Bedroom I Corner Plot I Upgraded I VOT,"5,200,000 AED",https://www.propertyfinder.ae/property/c57fe59636cc818491e5955403571b51/668/452/MODE/8ffef0/6169605-f8280o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-meadows-meadows-6-6169605.html
